Table,Column,Source,Condition
Weekly Report,Country,JSON (Monday),"Check text9 (Account Name) ending with - AU/NZ/UK/USA/TH/CA first, fallback to status0 (Currency mapping: thb=TH, aud=AU, nzd=NZ, gbp=UK, usd=US, cad=CA)"
Weekly Report,Active,JSON (Monday),"status = 'Active Subscription' OR 'active' OR 'Request Cancellation' AND lookup_mkwh1gcr = 'Completed' — unique by text9 (Account Name)"
Weekly Report,New Signup,DB (logssignup),"createAt BETWEEN Sunday 00:00:00 AND Saturday 23:59:59, test = 0 — unique by ShopName"
Weekly Report,Unsubscribe,DB (Cancellation),"timestamp BETWEEN Sunday 00:00:00 AND Saturday 23:59:59 — count all"
Weekly Report,% Change,Calculated,"(signup - unsub) / active * 100"
Weekly Report,Status,Calculated,">=5% = Good, >=0% = Normal, >=-10% = Bad, <-10% = Very Bad"
Week-over-Week,Previous Week Signup,DB (logssignup),"createAt in previous week (7 days back), test = 0 — unique by ShopName"
Week-over-Week,Previous Week Unsub,DB (Cancellation),"timestamp in previous week (7 days back)"
Week-over-Week,This Week Signup,DB (logssignup),"Same as Weekly Report New Signup"
Week-over-Week,This Week Unsub,DB (Cancellation),"Same as Weekly Report Unsubscribe"
Week-over-Week,Change,Calculated,"This Week - Previous Week (green = improved, red = worse)"
Product Popularity,Product,DB (logssignup),"MainProduct from dataLogs JSON this week"
Product Popularity,Country,DB (logssignup),"Country from dataLogs JSON"
Product Popularity,Signups,DB (logssignup),"Count signups grouped by Product + Country, sorted descending"
