restaurant_name,date_of_last_order,total_orders_last_30days
Rice and Lake Thai Restaurant,29/03/2026,160
Thai Legend,29/03/2026,107
Noodle Market,29/03/2026,94
KITCHAI Thai Restaurant and Bar,29/03/2026,82
BKK Boy Thai Street Kitchen,29/03/2026,81
Twelve Spices,29/03/2026,80
Baan Phaya Thai Eatons Hill,29/03/2026,77
Baan Phaya Thai Mango Hill,29/03/2026,61
Siri Thai Restaurant,28/03/2026,60
Buk Choy Thai Lao Eatery,28/03/2026,56
Tonnam Thai Kitchen,29/03/2026,51
Finn Thai Golden Beach,29/03/2026,50
Nahm Thai on Jordan Springs,29/03/2026,50
Phaboonchai Thai Restaurant,29/03/2026,49
Baan Phaya Thai Banyo,29/03/2026,47
Prik Thai Restaurant,29/03/2026,46
BKK Boy Thai Kitchen & Bar,26/03/2026,45
Baan Phaya Thai Burpengary,29/03/2026,43
Eatsy by cattleya thai ,28/03/2026,42
Thai So-Ho,29/03/2026,41
Darun Thai Restaurant,29/03/2026,38
Udom Thai Restaurant,29/03/2026,37
Melov Thai ,29/03/2026,36
Baanphrayathai Deception Bay,28/03/2026,35
Baan Phaya Thai Dakabin,29/03/2026,34
Thai Niyom  Windang - AU,29/03/2026,33
Bangkok Street Thai Takeaway,29/03/2026,32
Thai Yaso,28/03/2026,32
Kasinee Enterprises Pty Ltd,28/03/2026,31
Nahm Thai Cuisine,29/03/2026,30
Tarragindi Thai Restaurant,29/03/2026,30
Siam Thai Sutherland,29/03/2026,29
Thai Ra We,27/03/2026,29
Thai Royal Restaurant,29/03/2026,28
The Table No 2,29/03/2026,26
Maprang thai cranebrook,29/03/2026,23
Soya Cafe Bar and Restaurant,28/03/2026,22
Thai Cuisine,24/03/2026,22
Wok on Fox,27/03/2026,22
Sum Thai on Parklands,29/03/2026,21
Charm Thai Eatery,28/03/2026,19
MUANG THONG - GOLDEN CITY THAI RESTAURAN,28/03/2026,18
Little Thai Cafe & Restaurant,27/03/2026,17
Thai On Rode Takeaway and Delivery,28/03/2026,17
Thali Dhaba,26/03/2026,17
Try Thai,28/03/2026,17
QLD Kebabs and Grill,29/03/2026,16
Pure Thai Blacktown,27/03/2026,15
Amazing Thai,28/03/2026,15
Thai Emerald Alexandra Hills,28/03/2026,15
Yodthai Restaurant - Toowoomba,25/03/2026,15
Ruan Khao Thai (Maitland Road) - AU,28/03/2026,14
At Thai Gong Restaurant,28/03/2026,13
Cattleya Thai Ballarat,26/03/2026,13
Charm Thai Cuisine,27/03/2026,13
Asian Vegan Bistro,29/03/2026,12
Bangkok Place by Kami,28/03/2026,12
Sumalee Thai,29/03/2026,12
Thai Eat Restaurant,28/03/2026,12
Thai Power,28/03/2026,12
This Is Romeo Pizza,28/03/2026,12
Zaab Ver Thai Street Food and Café-,28/03/2026,12
Baan Phaya Thai Everton Park,25/03/2026,11
Monkey Punch Thai Cuisine ,28/03/2026,11
Pure Thai North Mead - AU,28/03/2026,11
Spize Thai & Asian,27/03/2026,11
Thai Coins,27/03/2026,10
Rosebud Thai Restaurant,29/03/2026,9
Suk-Kho Thai Eatery,29/03/2026,9
Thai Beach Cafe,26/03/2026,8
Al-OI Thai Newcastle,27/03/2026,7
Bamboo House,27/03/2026,7
Jack's Thai  Nairne,21/03/2026,7
True Thai,23/03/2026,7
D Thai Street Food,19/03/2026,6
Figtree Thai Restaurant ,27/03/2026,6
Cattleya Signature Ballarat,28/03/2026,5
House of Siam,27/03/2026,5
Rose Niyom Thai,21/03/2026,5
MEU ,22/03/2026,4
Pure Thai Restaurant Berala - AU,20/03/2026,4
Padthai  Margaret Street,20/03/2026,3
Thai Smile Rancho Santa Margarita,11/03/2026,3
Chai Yo Thai Cuisine,29/03/2026,2
Don't Tell Tiger Cafe and Thai Restaurant,27/03/2026,2
Gai Yang Vithaya Thai Kitchen,28/02/2026,2
Pho Time Greenway Plaza,25/03/2026,2
Tamrab Thai Restaurant and Cafe ,15/03/2026,2
Thai Forest Cafe and Restaurant,29/03/2026,2
Rangsit Thai Noodles,11/03/2026,1
Little Bangkok Kitchen,09/03/2026,1
Oops Modern Thai Restaurant,08/03/2026,1
Thaiger Bites,07/03/2026,1
,TOTAL,2395
